gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
PHI190104180,BRO,6,1,0,0,0,3,0,1,1,,,,,,,,,,,,,,,,,,,,6,hanln101,value,45,42,12,17,4,4,0,11,0,,0,3,,6,3,,,0,,27,,45,12,2,1,0,7,0,5,,4,0,0,0,0,,1,,0,27,14,3,1,0,0,0,1,,davil101,keelw101,shecj101,kellj106,mccrt101,dalyt101,dahlb102,mcgud101,donob101,donob101,mcgud101,kellj106,dalyt101,shecj101,dahlb102,davil101,mccrt101,keelw101,,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,BRO,6,1,0,0,0,3,0,1,1,,,,,,,,,,,,,,,,,,,,6,hanln101,official,,42,12,17,4,4,0,,,,,3,,,3,,,,,27,,45,12,,,0,7,,5,,3,,,,,,,,,27,14,3,,,0,,,,davil101,keelw101,shecj101,kellj106,mccrt101,dalyt101,dahlb102,mcgud101,donob101,donob101,mcgud101,kellj106,dalyt101,shecj101,dahlb102,davil101,mccrt101,keelw101,,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,PHI,0,0,3,3,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,11,shetb801,value,45,40,7,12,2,1,0,5,0,,0,5,,4,1,,,0,,27,,45,17,4,4,0,12,0,3,,6,0,0,0,0,,3,,0,27,13,1,0,0,0,0,3,,thomr101,slagj102,delae101,flice101,mcfae101,wolvh101,dolaj101,crosm101,dunnj102,dunnj102,mcfae101,delae101,dolaj101,wolvh101,crosm101,slagj102,thomr101,flice101,,19010418,,PHI09,h,BRO,0,1,0,regular,y,
BRO190104190,PHI,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,3,shetb801,value,32,29,2,4,0,1,1,2,0,,1,2,,6,0,,,0,,24,,43,8,3,0,1,10,0,10,,6,1,0,0,1,,4,,0,24,7,0,1,0,0,0,4,,thomr101,slagj102,delae101,flice101,dougk101,wolvh101,dolaj101,crosm101,townh101,townh101,dougk101,delae101,dolaj101,wolvh101,crosm101,slagj102,thomr101,flice101,,19010419,,NYC12,v,BRO,0,1,0,regular,y,
BRO190104190,BRO,0,1,4,2,1,0,0,2,,,,,,,,,,,,,,,,,,,,,9,hanln101,value,43,31,10,8,3,0,1,10,1,,1,10,,6,4,,,0,,27,,32,4,0,1,1,2,0,2,,6,1,0,0,0,,0,,0,27,13,0,2,0,0,0,0,,davil101,keelw101,shecj101,kellj106,mccrt101,dalyt101,dahlb102,mcgud101,mccag101,mccag101,mcgud101,kellj106,dalyt101,shecj101,dahlb102,davil101,mccrt101,keelw101,,19010419,,NYC12,h,PHI,1,0,0,regular,y,
BRO190104190,BRO,0,1,4,2,1,0,0,2,,,,,,,,,,,,,,,,,,,,,9,hanln101,official,,31,10,8,3,0,1,,,,,10,,,4,,,,,27,,32,4,,,1,2,,2,,5,,,,,,,,,27,13,0,,,0,,,,davil101,keelw101,shecj101,kellj106,mccrt101,dalyt101,dahlb102,mcgud101,mccag101,mccag101,mcgud101,kellj106,dalyt101,shecj101,dahlb102,davil101,mccrt101,keelw101,,19010419,,NYC12,h,PHI,1,0,0,regular,y,
BSN190104190,NY1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,davig102,value,34,32,0,5,0,0,0,0,1,,0,1,,5,0,,,0,,24,,38,15,2,0,0,7,0,1,,4,0,1,0,0,,3,,2,24,13,2,1,0,2,1,3,,vanhg101,selbk101,davig102,hickc101,stras102,ganzj101,murpd106,bowef102,tayld102,tayld102,bowef102,ganzj101,murpd106,stras102,davig102,selbk101,vanhg101,hickc101,,19010419,,BOS05,v,BSN,0,1,0,regular,y,
BSN190104190,NY1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,davig102,official,,32,0,5,0,0,0,,,,,1,,,0,,,,,24,,38,15,,,0,7,,1,,4,,,,,,,,,24,13,2,,,2,,,,vanhg101,selbk101,davig102,hickc101,stras102,ganzj101,murpd106,bowef102,tayld102,tayld102,bowef102,ganzj101,murpd106,stras102,davig102,selbk101,vanhg101,hickc101,,19010419,,BOS05,v,BSN,0,1,0,regular,y,
BSN190104190,BSN,0,0,1,1,2,0,0,3,,,,,,,,,,,,,,,,,,,,,7,selef801,value,38,37,7,15,2,0,0,5,0,,0,1,,4,3,,,0,,27,,34,5,0,0,0,0,0,1,,5,0,0,0,1,,0,,0,27,13,2,0,0,0,0,0,,hamib101,tennf102,demog101,longh101,loweb101,crolf101,barrs101,kittm101,nichk101,nichk101,kittm101,tennf102,loweb101,demog101,longh101,barrs101,hamib101,crolf101,,19010419,,BOS05,h,NY1,1,0,0,regular,y,
SLN190104190,CHN,0,0,0,4,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,8,loftt101,value,43,42,8,18,2,2,0,6,0,,1,0,,4,2,,,0,,27,,41,14,1,3,1,7,0,1,,2,0,0,0,0,,2,,0,27,18,2,2,0,0,0,2,,chilc101,hartt102,dolac101,greed103,doylj103,delaj103,mccob104,klinj101,taylj101,taylj101,klinj101,doylj103,chilc101,delaj103,mccob104,hartt102,greed103,dolac101,,19010419,,STL05,v,SLN,1,0,0,regular,y,
SLN190104190,CHN,0,0,0,4,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,8,loftt101,official,,42,8,18,2,2,0,,,,,0,,,2,,,,,27,,41,14,,,1,7,,1,,1,,,,,,,,,27,18,2,,,0,,,,chilc101,hartt102,dolac101,greed103,doylj103,delaj103,mccob104,klinj101,taylj101,taylj101,klinj101,doylj103,chilc101,delaj103,mccob104,hartt102,greed103,dolac101,,19010419,,STL05,v,SLN,1,0,0,regular,y,
SLN190104190,SLN,2,0,0,2,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,7,donop101,value,41,40,7,14,1,3,1,5,0,,0,1,,2,2,,,0,,27,,43,18,2,2,0,8,0,0,,4,1,0,0,0,,2,,1,27,13,0,0,0,1,0,2,,burkj101,heide101,donop101,mcgad102,wallb101,paddd102,krueo101,ryanj103,powej105,powej105,ryanj103,mcgad102,paddd102,krueo101,wallb101,burkj101,heide101,donop101,,19010419,,STL05,h,CHN,0,1,0,regular,y,
CIN190104200,PIT,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,6,clarf101,value,37,34,4,6,0,3,0,3,1,,0,2,,7,0,,,0,,27,,36,9,1,2,0,2,0,0,,6,1,1,0,0,,1,,0,27,15,2,0,0,0,1,1,,clarf101,beaug101,wagnh101,brank101,ritcc101,leact101,ely-b101,oconj104,leevs101,leevs101,oconj104,brank101,ritcc101,leact101,ely-b101,clarf101,beaug101,wagnh101,,19010420,,CIN05,v,CIN,1,0,0,regular,y,
CIN190104200,PIT,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,6,clarf101,official,,34,4,6,0,3,0,,,,,3,,,0,,,,,27,,36,9,,,0,2,,0,,6,,,,,,,,,27,15,2,,,0,,,,clarf101,beaug101,wagnh101,brank101,ritcc101,leact101,ely-b101,oconj104,leevs101,leevs101,oconj104,brank101,ritcc101,leact101,ely-b101,clarf101,beaug101,wagnh101,,19010420,,CIN05,v,CIN,1,0,0,regular,y,
CIN190104200,CIN,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,mcphb101,value,36,35,2,9,1,2,0,1,0,,1,0,,6,1,,,0,,27,,37,6,0,3,0,4,0,2,,7,0,0,0,1,,0,,0,27,11,4,0,0,0,0,0,,dobbj101,harld101,beckj103,craws101,magog101,irwic101,corct101,peith101,hahnn101,hahnn101,peith101,beckj103,magog101,irwic101,corct101,harld101,dobbj101,craws101,,19010420,,CIN05,h,PIT,0,1,0,regular,y,
SLN190104200,CHN,0,0,4,1,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,9,loftt101,value,45,40,9,15,0,2,1,9,1,,1,3,,6,0,,,0,,24,,43,10,2,1,2,11,0,6,,5,3,0,0,2,,3,,0,24,15,4,1,0,0,0,3,,chilc101,hartt102,dolac101,greed103,doylj103,delaj103,mccob104,klinj101,hught103,hught103,klinj101,doylj103,chilc101,delaj103,mccob104,hartt102,greed103,dolac101,,19010420,,STL05,v,SLN,0,1,0,regular,y,
SLN190104200,CHN,0,0,4,1,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,9,loftt101,official,,40,9,15,0,2,1,,,,,3,,,0,,,,,24,,43,10,,,2,11,,6,,5,,,,,,,,,24,15,4,,,0,,,,chilc101,hartt102,dolac101,greed103,doylj103,delaj103,mccob104,klinj101,hught103,hught103,klinj101,doylj103,chilc101,delaj103,mccob104,hartt102,greed103,dolac101,,19010420,,STL05,v,SLN,0,1,0,regular,y,
SLN190104200,SLN,2,4,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,8,donop101,value,43,32,11,10,2,1,2,10,2,,3,6,,5,3,,,0,,27,,45,15,0,2,1,9,0,3,,6,1,0,0,1,,0,,1,27,13,0,1,0,1,0,0,,burkj101,heide101,donop101,mcgad102,wallb101,paddd102,krueo101,nicha101,jonec107,jonec107,nicha101,mcgad102,paddd102,krueo101,wallb101,burkj101,heide101,donop101,,19010420,,STL05,h,CHN,1,0,0,regular,y,
SLN190104200,SLN,2,4,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,8,donop101,official,,32,11,10,2,1,2,,,,,6,,,3,,,,,27,,45,15,,,1,9,,3,,6,,,,,,,,,27,13,0,,,1,,,,burkj101,heide101,donop101,mcgad102,wallb101,paddd102,krueo101,nicha101,jonec107,jonec107,nicha101,mcgad102,paddd102,krueo101,wallb101,burkj101,heide101,donop101,,19010420,,STL05,h,CHN,1,0,0,regular,y,
